,date_only,Price
0,2022-12-31,20.09596779286391
1,2023-01-01,19.924310051107327
2,2023-01-02,20.036922005571032
3,2023-01-03,19.941742331288346
4,2023-01-04,19.75607486631016
5,2023-01-05,19.93962403373155
6,2023-01-06,19.815067280453256
7,2023-01-07,18.707729982964224
8,2023-01-08,19.7977673992674
9,2023-01-09,20.879760281049805
10,2023-01-10,20.338432217434537
11,2023-01-11,19.798892794376098
12,2023-01-12,19.962030315969255
13,2023-01-13,19.170575682382132
14,2023-01-14,19.065307835820892
15,2023-01-15,19.237879955947136
16,2023-01-16,19.115297923050733
17,2023-01-17,18.981505569529286
18,2023-01-18,18.787005171603198
19,2023-01-19,18.67324694376528
20,2023-01-20,18.63293439077145
21,2023-01-21,18.328669250645994
22,2023-01-22,18.514684466019418
23,2023-01-23,18.405834127740707
24,2023-01-24,18.430160726764502
25,2023-01-25,18.385823863636364
26,2023-01-26,18.774447829398323
27,2023-01-27,18.974701718907987
28,2023-01-28,18.56066869300912
29,2023-01-29,18.6410197710718
30,2023-01-30,18.367011494252875
31,2023-01-31,18.735017579105975
32,2023-02-01,19.254309884238648
33,2023-02-02,18.79724489795918
34,2023-02-03,18.897520814061057
35,2023-02-04,18.742013513513513
36,2023-02-05,19.692256523337008
37,2023-02-06,19.20420816733068
38,2023-02-07,18.261049773755655
39,2023-02-08,19.67139984330112
40,2023-02-09,21.044818461538462
41,2023-02-10,22.186630958757366
42,2023-02-11,19.850103143418465
43,2023-02-12,20.450237912509593
44,2023-02-13,19.160929095354522
45,2023-02-14,19.888650385604112
46,2023-02-15,19.724081381011096
47,2023-02-16,19.42335308056872
48,2023-02-17,19.406578512396692
49,2023-02-18,19.549581589958155
50,2023-02-19,19.611205073995773
51,2023-02-20,19.987466124661246
52,2023-02-21,20.149051463168515
53,2023-02-22,20.092835249042142
54,2023-02-23,20.096731034482758
55,2023-02-24,20.36653846153846
56,2023-02-25,20.323541076487253
57,2023-02-26,20.21982608695652
58,2023-02-27,20.261403162055338
59,2023-02-28,19.88817519766958
60,2023-03-01,19.99329307942406
61,2023-03-02,20.08057803468208
62,2023-03-03,19.85291640866873
63,2023-03-04,19.561857968620973
64,2023-03-05,19.674097859327215
65,2023-03-06,19.912401960784315
66,2023-03-07,18.781784624771202
67,2023-03-08,19.770852465561987
68,2023-03-09,20.71277493606138
69,2023-03-10,21.075182403433477
70,2023-03-11,19.76429436422916
71,2023-03-12,20.40686881188119
72,2023-03-13,19.440015298317185
73,2023-03-14,19.425835678109173
74,2023-03-15,19.203582474226803
75,2023-03-16,19.321818835370237
76,2023-03-17,19.243976006855185
77,2023-03-18,19.260925
78,2023-03-19,19.31008333333333
79,2023-03-20,19.04228478964401
80,2023-03-21,18.890642115203022
81,2023-03-22,18.95404815650865
82,2023-03-23,19.069743243243245
83,2023-03-24,18.905993975903616
84,2023-03-25,18.790783783783784
85,2023-03-26,18.930111524163568
86,2023-03-27,18.808906882591092
87,2023-03-28,18.751819645732688
88,2023-03-29,18.69035149384886
89,2023-03-30,18.762146389713156
90,2023-03-31,18.752757636311735
91,2023-04-04,19.159029702970297
92,2023-04-05,19.463793254489705
93,2023-04-06,19.92887159533074
94,2023-04-07,17.775695326024234
95,2023-04-08,19.96069052631579
96,2023-04-09,22.084983522519224
97,2023-04-10,23.085188187608573
98,2023-04-11,19.947620817843866
99,2023-04-12,20.677943373967757
100,2023-04-13,19.990749479528105
101,2023-04-14,19.876978851963745
102,2023-04-15,20.28362359550562
103,2023-04-16,20.318326300984527
104,2023-04-17,20.58668134287287
105,2023-04-18,20.88442779291553
106,2023-04-19,20.6726724137931
107,2023-04-20,20.687508073196987
108,2023-04-21,20.54878678678679
109,2023-04-22,20.195174129353234
110,2023-04-23,20.333543804262035
111,2023-04-24,20.15131901840491
112,2023-04-25,20.07939060939061
113,2023-04-26,20.158053553038105
114,2023-04-27,20.05150656530753
115,2023-04-28,19.998621444201312
116,2023-04-29,19.883719879518072
117,2023-04-30,19.645359053787665
118,2023-05-04,19.46663439635535
119,2023-05-05,19.388731527093594
120,2023-05-06,20.001897959183673
121,2023-05-07,17.772410501193317
122,2023-05-08,19.78216831683168
123,2023-05-09,21.922652020400154
124,2023-05-10,23.29969961769525
125,2023-05-11,20.15856745479833
126,2023-05-12,20.719776170798898
127,2023-05-13,18.43136217948718
128,2023-05-14,18.439232876712328
129,2023-05-15,18.499291774253045
130,2023-05-16,18.37484381507705
131,2023-05-17,18.311051731509192
132,2023-05-18,18.235361773316605
133,2023-05-19,18.106345177664974
134,2023-05-20,17.98524844720497
135,2023-05-21,18.04407942238267
136,2023-05-22,18.141774290887145
137,2023-05-23,17.99301360985094
138,2023-05-24,17.916340673575128
139,2023-05-25,18.429832033593282
140,2023-05-26,18.57944832944833
141,2023-05-27,18.31739054290718
142,2023-05-28,18.79864376130199
143,2023-05-29,19.126505082095388
144,2023-05-30,19.059987966305656
145,2023-05-31,19.232745380369572
146,2023-06-04,19.595409035409034
147,2023-06-05,19.119073001158746
148,2023-06-06,20.296300319488818
149,2023-06-07,17.747334669338677
150,2023-06-08,20.04923363095238
151,2023-06-09,21.85836120401338
152,2023-06-10,22.85373413493654
153,2023-06-11,20.015888746803068
154,2023-06-12,20.543078393881455
155,2023-06-13,19.886186082276048
156,2023-06-14,19.77235632183908
157,2023-06-15,19.454403697078117
158,2023-06-16,19.21741791044776
159,2023-06-17,18.957511781338358
160,2023-06-18,19.101104734576758
161,2023-06-19,19.060057395143488
162,2023-06-20,18.96341426970489
163,2023-06-21,18.7653050397878
